"Active payment methods:","Verfügbare Zahlungsmittel:"
"Allowed Customer Group","Erlaubte Kundengruppen"
"Amount","Betrag"
"An error occurred during the payment process","Während des Bezahlprozesses ist ein Fehler aufgetreten."
"Bank account owner","Kontoinhaber"
"Billing/Shipping Address must be identical","Zahlungs- und Versandadresse müssen identisch sein."
"Choose your bank...","Wählen Sie bitte Ihre Bank."
"Configuration test ok","Konfigurationstest OK"
"Configuration","Konfiguration"
"consent","Zustimmung"
"Consumer e-mail address","E-mail-Adresse des Konsumenten"
"Consumer wallet ID","Wallet-ID des Konsumenten"
"Contact Form","Kontaktformular"
"Create order before payment","Immer"
"Create order after payment","Nur für erfolgreiche Zahlungen"
"Credit number","Gutschriftsnummer"
"Customer statement","Shop-Referenz im Buchunstext"
"Currency","Währung"
"Demo","Demo"
"Desktop","Desktop"
"Existing order","Bestehender Auftrag"
"Existing order data","Daten zum bestehenden Auftrag"
"Foreign payment methods:","Zahlungsmittel von Drittanbietern:"
"fraud attemmpt detected, cart has been modified during checkout!","Ein Betrugsversuch wurde festgestellt. Der Warenkorb wurde während des Bezahlvorganges verändert."
"Fund Transfer","Auszahlung"
"Fund transfer type","Auszahlungsart"
"Fund transfer submitted successfully!","Auszahlung erfolgreich durchgeführt."
"I agree that the data which are necessary for the liquidation of purchase on account and which are used to complete the identy and credit check are transmitted to payolution. My %s can be revoked at any time with effect for the future.","Mit der Übermittlung jener Daten an payolution, die für die Abwicklung des Zahlungen mit Kauf auf Rechnung und die Identitäts- und Bonitätsprüfung erforderlichen sind, bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen."
"Iframe","Iframe"
"Installed Modules:","Installierte Module:"
"Invalid fund transfer type","Ungültige Auszahlungsart"
"moneta.ru data","moneta.ru Daten"
"No order number found.","Auftragsnummer wurde nicht gefunden."
"Order with obligation to pay", "Zahlungspflichtig bestellen"
"Order description","Auftragsbeschreibung"
"Order number","Auftragsnummer"
"Order reference","Auftragsreferenz"
"Payment Methods","Zahlungsmittel"
"Please enter a valid e-mail address (reply to).","Bitte geben Sie eine gültige E-Mail-Addresse ein."
"Please enter a valid e-mail address.","Bitte geben Sie eine gültige E-Mail Addresse ein."
"Please select the fund transfer type","Bitte wählen Sie die Auszahlungsart."
"Plugin name: %product","Plugin Name: %product"
"Plugin version: %product","Plugin Version: %product"
"Popup","Pop-up"
"Product: %product","Produkt: %product"
"Production","Produktion"
Provider,Provider
